iter	RMSE
0	0.01914551315
1	0.01784159722
2	0.01663597149
3	0.01562702462
4	0.01470241598
5	0.01385438121
6	0.01313068722
7	0.01252736152
8	0.01189808992
9	0.01136058366
10	0.01084769013
11	0.01042205429
12	0.01003427054
13	0.009695134936
14	0.009365982066
15	0.00906586308
16	0.008816238813
17	0.008542132344
18	0.008306517523
19	0.008140287447
20	0.007954656356
21	0.007783598553
22	0.007630436091
23	0.007478746818
24	0.007347985331
25	0.007238555425
26	0.007124814327
27	0.007053512924
28	0.006935197462
29	0.006852996437
30	0.006770487622
31	0.006679059132
32	0.006613264393
33	0.006545137848
34	0.0064704461
35	0.006418055077
36	0.006348014744
37	0.006298153931
38	0.006245227094
39	0.006200573693
40	0.00615127461
41	0.006111717481
42	0.006055487012
43	0.006015280931
44	0.00597492136
45	0.005925602252
46	0.005899224916
47	0.005864377055
48	0.005825430823
49	0.005788063648
50	0.00575552096
51	0.005712917723
52	0.005664445863
53	0.00562487975
54	0.005580935485
55	0.005549099438
56	0.005508066244
57	0.005469650602
58	0.005440851167
59	0.005398908434
60	0.005376937522
61	0.00534696839
62	0.005323321761
63	0.005308103059
64	0.005285967421
65	0.00525525166
66	0.005228824176
67	0.005201875103
68	0.005173052055
69	0.005143341929
70	0.005118884659
71	0.005102783645
72	0.005076975566
73	0.00506357666
74	0.005035713573
75	0.005006575913
76	0.004983413461
77	0.004968175101
78	0.004936690852
79	0.004913410705
80	0.00489496008
81	0.004858984763
82	0.004843283768
83	0.004809478816
84	0.004797751925
85	0.004771108514
86	0.004756190707
87	0.004746770279
88	0.00472788543
89	0.004700014457
90	0.004674125457
91	0.004653676661
92	0.004625553074
93	0.004613097298
94	0.004595715036
95	0.004575454093
96	0.004547036303
97	0.004523155234
98	0.004495504317
99	0.004489943565
100	0.004475021203
101	0.004461094346
102	0.004455721212
103	0.004440390082
104	0.004415255194
105	0.004392268374
106	0.004372521701
107	0.004355017193
108	0.00432720005
109	0.004314963336
110	0.004295163512
111	0.004268467688
112	0.004228344334
113	0.004194777331
114	0.004171384239
115	0.004155610605
116	0.004127504911
117	0.004095156745
118	0.004074170909
119	0.004060499881
120	0.004038463263
121	0.004024809067
122	0.004002164705
123	0.003980940969
124	0.003971277139
125	0.003948341526
126	0.003927317881
127	0.003923648435
128	0.003899577286
129	0.003879801217
130	0.00386190701
131	0.003842683933
132	0.003822311235
133	0.003805952765
134	0.003800087253
135	0.003792120779
136	0.003760931886
137	0.003749853123
138	0.003743084189
139	0.003721523979
140	0.003714894089
141	0.003708056748
142	0.003681599744
143	0.003675616553
144	0.003650485722
145	0.003628440745
146	0.00362116892
147	0.003609549443
148	0.003601241082
149	0.003577702009
150	0.003562499493
151	0.003543765425
152	0.003530797948
153	0.003523799795
154	0.003507021137
155	0.00349285889
156	0.003482954122
157	0.00347183593
158	0.003467299441
159	0.003450255199
160	0.00343619538
161	0.003411731236
162	0.003395358337
